"Current and capital accounts - Households, Canada, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0112-01 (formerly CANSIM 380-0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal adjustment,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unadjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,"Compensation of employees 1  (x 1,000,000)","Paid to residents by resident entities 1  (x 1,000,000)","Paid to residents by non-resident entities 1  (x 1,000,000)","Plus: net mixed income 1  (x 1,000,000)","Non-farm 1  (x 1,000,000)","Farm 1  (x 1,000,000)","Rental income of households 1  (x 1,000,000)","Plus: net property income 1  (x 1,000,000)","Property income received 1  (x 1,000,000)","Less: property income paid 1  (x 1,000,000)","Equals: primary household income 1  (x 1,000,000)","Primary household income 2  (x 1,000,000)","Plus: current transfers received 2  (x 1,000,000)","From non-profit institutions serving households 2  (x 1,000,000)","From corporations 2  (x 1,000,000)","From general governments 2 3  (x 1,000,000)","Employment insurance benefits 2 3  (x 1,000,000)","Social security benefits 2  (x 1,000,000)","Other benefits 2 3  (x 1,000,000)","From non-residents 2  (x 1,000,000)","Less: current transfers paid 2  (x 1,000,000)","To non-profit institutions serving households 2  (x 1,000,000)","To corporations 2  (x 1,000,000)","To general governments 2  (x 1,000,000)","Personal income tax 2  (x 1,000,000)","Other current transfers 2  (x 1,000,000)","Of which: contributions to social insurance plans 2  (x 1,000,000)","To non-residents 2  (x 1,000,000)","Equals: household disposable income 2  (x 1,000,000)","Household disposable income 4  (x 1,000,000)","Less: household final consumption expenditure 4  (x 1,000,000)","Plus: change in pension entitlements 4  (x 1,000,000)","Equals: household net saving 4  (x 1,000,000)",Household saving rate 4,"Household net saving 5  (x 1,000,000)","Plus: consumption of fixed capital at replacement cost 5  (x 1,000,000)","Plus: net capital transfers received 5  (x 1,000,000)","From non-profit institutions serving households 5  (x 1,000,000)","From corporations 5  (x 1,000,000)","From general governments 3 5  (x 1,000,000)","From non-residents 5  (x 1,000,000)","Equals: gross saving and capital transfers 5  (x 1,000,000)","Less: non-financial capital acquisitions 5  (x 1,000,000)","Fixed capital 5  (x 1,000,000)","New assets 5  (x 1,000,000)","Existing assets 5  (x 1,000,000)","Inventories 5  (x 1,000,000)","Equals: net lending or net borrowing 5  (x 1,000,000)","Compensation of employees 1  (x 1,000,000)","Paid to residents by resident entities 1  (x 1,000,000)","Paid to residents by non-resident entities 1  (x 1,000,000)","Plus: net mixed income 1  (x 1,000,000)","Non-farm 1  (x 1,000,000)","Farm 1  (x 1,000,000)","Rental income of households 1  (x 1,000,000)","Plus: net property income 1  (x 1,000,000)","Property income received 1  (x 1,000,000)","Less: property income paid 1  (x 1,000,000)","Equals: primary household income 1  (x 1,000,000)","Primary household income 2  (x 1,000,000)","Plus: current transfers received 2  (x 1,000,000)","From non-profit institutions serving households 2  (x 1,000,000)","From corporations 2  (x 1,000,000)","From general governments 2 3  (x 1,000,000)","Employment insurance benefits 2 3  (x 1,000,000)","Social security benefits 2  (x 1,000,000)","Other benefits 2 3  (x 1,000,000)","From non-residents 2  (x 1,000,000)","Less: current transfers paid 2  (x 1,000,000)","To non-profit institutions serving households 2  (x 1,000,000)","To corporations 2  (x 1,000,000)","To general governments 2  (x 1,000,000)","Personal income tax 2  (x 1,000,000)","Other current transfers 2  (x 1,000,000)","Of which: contributions to social insurance plans 2  (x 1,000,000)","To non-residents 2  (x 1,000,000)","Equals: household disposable income 2  (x 1,000,000)","Household disposable income 4  (x 1,000,000)","Less: household final consumption expenditure 4  (x 1,000,000)","Plus: change in pension entitlements 4  (x 1,000,000)","Equals: household net saving 4  (x 1,000,000)",Household saving rate 4,"Household net saving 5  (x 1,000,000)","Plus: consumption of fixed capital at replacement cost 5  (x 1,000,000)","Plus: net capital transfers received 5  (x 1,000,000)","From non-profit institutions serving households 5  (x 1,000,000)","From corporations 5  (x 1,000,000)","From general governments 3 5  (x 1,000,000)","From non-residents 5  (x 1,000,000)","Equals: gross saving and capital transfers 5  (x 1,000,000)","Less: non-financial capital acquisitions 5  (x 1,000,000)","Fixed capital 5  (x 1,000,000)","New assets 5  (x 1,000,000)","Existing assets 5  (x 1,000,000)","Inventories 5  (x 1,000,000)","Equals: net lending or net borrowing 5  (x 1,000,000)"
Q1 2014,"981,384","979,912","1,472","168,968","68,860","6,148","93,960","125,976","181,320","55,344","1,276,328","1,276,328","263,216","4,252","80,320","176,392","15,300","57,456","103,636","2,252","471,860","15,008","123,944","328,092","224,660","103,432","91,572","4,816","1,067,684","1,067,684","1,065,680","43,624","45,628",4.3,"45,628","54,728","-1,652","-1,836",0,188,-4,"98,704","152,164","152,668","139,032","13,636",-504,"-53,460","241,816","241,438",378,"38,481","15,375",729,"22,377","31,015","45,009","13,994","311,312","311,312","67,087","1,049","20,051","45,386","4,418","14,536","26,432",601,"123,484","3,703","29,332","89,241","57,520","31,721","28,701","1,208","254,915","254,915","252,434","9,281","11,762",4.6,"11,762","13,626",-433,-479,0,47,-1,"24,955","30,814","32,336","29,919","2,417","-1,522","-5,859"
Q2 2014,"991,524","990,040","1,484","171,856","69,700","7,112","95,044","125,836","181,524","55,688","1,289,216","1,289,216","262,188","4,300","78,420","177,208","15,788","57,648","103,772","2,260","478,080","15,168","128,680","329,256","225,820","103,436","91,688","4,976","1,073,324","1,073,324","1,082,060","50,260","41,524",3.9,"41,524","54,600","-1,860","-1,992",0,136,-4,"94,264","152,832","154,236","141,636","12,600","-1,404","-58,568","250,420","250,055",365,"39,310","17,951","-2,684","24,043","31,247","44,825","13,578","320,977","320,977","65,321","1,087","19,785","43,910","3,882","14,358","25,670",539,"124,541","3,836","34,880","84,582","54,904","29,678","26,775","1,243","261,757","261,757","275,375","15,095","1,477",0.6,"1,477","13,641",-423,-456,0,34,-1,"14,695","39,551","41,429","38,075","3,354","-1,878","-24,856"
Q3 2014,"1,004,236","1,002,740","1,496","173,060","70,468","6,584","96,008","124,236","180,156","55,920","1,301,532","1,301,532","267,852","4,356","81,308","179,968","15,388","58,300","106,280","2,220","478,252","15,368","124,904","333,044","229,208","103,836","91,864","4,936","1,091,132","1,091,132","1,093,188","43,596","41,540",3.8,"41,540","55,492","-2,044","-2,180",0,140,-4,"94,988","156,076","157,468","144,800","12,668","-1,392","-61,088","251,061","250,700",361,"49,606","18,755","5,760","25,091","30,180","44,284","14,104","330,847","330,847","66,853","1,090","20,333","44,857","3,683","14,545","26,629",573,"114,459","3,846","29,704","79,677","56,341","23,336","20,371","1,232","283,241","283,241","276,770","9,371","15,842",5.6,"15,842","14,117",-485,-519,0,35,-1,"29,474","45,784","42,672","38,749","3,923","3,112","-16,310"
Q4 2014,"1,007,844","1,006,324","1,520","174,432","70,900","6,652","96,880","128,028","184,504","56,476","1,310,304","1,310,304","271,356","4,388","83,084","181,608","15,872","58,884","106,852","2,276","487,180","15,492","131,360","335,380","229,760","105,620","93,508","4,948","1,094,480","1,094,480","1,104,084","48,276","38,672",3.5,"38,672","55,528","-2,432","-2,568",0,140,-4,"91,768","162,720","163,784","148,992","14,792","-1,064","-70,952","252,950","252,561",389,"44,682","17,901","2,819","23,962","33,577","47,758","14,181","331,209","331,209","66,892","1,098","20,614","44,641","3,604","14,633","26,404",539,"116,359","3,874","33,306","77,943","58,597","19,346","16,311","1,236","281,742","281,742","281,674","12,692","12,760",4.5,"12,760","13,703",-656,-690,0,35,-1,"25,807","39,799","40,602","36,872","3,730",-803,"-13,992"
Q1 2015,"1,019,332","1,017,764","1,568","175,608","69,888","7,316","98,404","131,568","189,180","57,612","1,326,508","1,326,508","281,828","4,368","85,684","189,400","16,484","59,376","113,540","2,376","490,588","15,100","129,876","340,036","233,384","106,652","94,456","5,576","1,117,748","1,117,748","1,105,264","44,196","56,680",5.1,"56,680","56,652","-2,628","-2,760",0,136,-4,"110,704","189,432","190,184","158,064","32,120",-752,"-78,728","251,399","250,995",404,"39,936","15,527",966,"23,443","32,388","46,850","14,462","323,723","323,723","71,815","1,077","21,372","48,729","4,837","14,995","28,897",637,"128,746","3,720","30,285","93,343","60,440","32,903","29,781","1,398","266,792","266,792","261,709","8,914","13,997",5.2,"13,997","14,143",-722,-755,0,34,-1,"27,418","38,434","40,292","34,332","5,960","-1,858","-11,016"
Q2 2015,"1,025,220","1,023,620","1,600","177,252","69,840","7,960","99,452","140,488","196,588","56,100","1,342,960","1,342,960","286,148","4,432","88,964","190,368","17,040","60,056","113,272","2,384","501,588","15,252","133,972","346,708","239,440","107,268","94,704","5,656","1,127,520","1,127,520","1,114,204","45,008","58,324",5.2,"58,324","57,004","-2,252","-2,356",0,108,-4,"113,076","161,648","162,444","148,280","14,164",-796,"-48,572","258,587","258,196",391,"40,455","18,067","-2,741","25,129","34,690","48,378","13,688","333,732","333,732","71,081","1,118","22,410","46,988","4,115","14,960","27,913",565,"130,791","3,849","36,799","88,731","57,945","30,786","27,704","1,412","274,022","274,022","283,537","14,389","4,874",1.8,"4,874","14,264",-521,-547,0,27,-1,"18,617","42,764","44,477","40,464","4,013","-1,713","-24,147"
Q3 2015,"1,026,512","1,024,852","1,660","178,332","69,148","8,932","100,252","145,936","200,988","55,052","1,350,780","1,350,780","291,240","4,448","91,760","192,564","16,888","60,844","114,832","2,468","505,692","15,308","133,412","351,308","243,368","107,940","95,088","5,664","1,136,328","1,136,328","1,129,568","41,652","48,412",4.3,"48,412","57,496","-2,456","-2,560",0,108,-4,"103,452","159,672","160,152","149,564","10,588",-480,"-56,220","256,266","255,867",399,"51,817","18,506","7,089","26,222","35,522","49,505","13,983","343,605","343,605","72,907","1,111","23,014","48,143","4,043","15,188","28,912",639,"120,033","3,824","30,877","83,919","59,719","24,200","21,010","1,413","296,479","296,479","286,210","7,863","18,132",6.1,"18,132","14,596",-580,-606,0,27,-1,"32,148","47,429","43,669","39,899","3,770","3,760","-15,281"
Q4 2015,"1,027,908","1,026,216","1,692","180,796","69,860","9,640","101,296","150,748","206,120","55,372","1,359,452","1,359,452","293,584","4,432","92,408","194,260","17,448","61,360","115,452","2,484","515,112","15,328","134,592","359,460","248,472","110,988","98,220","5,732","1,137,924","1,137,924","1,139,280","42,184","40,828",3.6,"40,828","58,320","-1,872","-2,000",0,132,-4,"97,276","159,760","160,444","149,652","10,792",-684,"-62,484","258,491","258,055",436,"45,789","17,584","3,148","25,057","39,585","53,486","13,901","343,865","343,865","72,397","1,114","22,908","47,788","3,970","15,266","28,552",587,"123,675","3,854","35,002","83,385","63,062","20,323","17,122","1,434","292,587","292,587","290,623","12,094","14,058",4.8,"14,058","14,365",-479,-511,0,33,-1,"27,944","39,001","39,868","36,695","3,173",-867,"-11,057"
Q1 2016,"1,018,556","1,016,848","1,708","182,032","71,548","8,868","101,616","129,888","184,940","55,052","1,330,476","1,330,476","297,944","4,384","95,280","195,764","17,804","61,676","116,284","2,516","520,776","15,140","136,172","363,368","253,128","110,240","97,284","6,096","1,107,644","1,107,644","1,141,184","40,892","7,352",0.7,"7,352","58,796","-2,552","-2,688",0,136,0,"63,596","173,524","173,636","157,592","16,044",-112,"-109,928","251,372","250,931",441,"40,870","15,868",756,"24,246","31,346","45,392","14,046","323,588","323,588","75,434","1,082","23,462","50,216","5,246","15,554","29,416",674,"136,172","3,731","31,538","99,373","65,632","33,741","30,430","1,530","262,850","262,850","269,924","8,076","1,002",0.4,"1,002","14,603",-670,-704,0,34,0,"14,935","35,237","37,209","34,370","2,839","-1,972","-20,302"
Q2 2016,"1,020,468","1,018,772","1,696","183,900","72,548","8,456","102,896","130,092","187,088","56,996","1,334,460","1,334,460","304,708","4,392","98,580","199,260","17,912","62,480","118,868","2,476","511,048","15,208","142,480","347,308","237,024","110,284","97,792","6,052","1,128,120","1,128,120","1,147,040","43,900","24,980",2.2,"24,980","64,700","-2,084","-2,204",0,120,0,"87,596","165,460","165,096","155,740","9,356",364,"-77,864","257,208","256,796",412,"41,558","18,814","-3,237","25,981","31,923","45,771","13,848","330,689","330,689","75,803","1,108","24,894","49,214","4,294","15,577","29,343",587,"133,789","3,834","39,270","89,175","57,537","31,638","28,565","1,510","272,703","272,703","292,177","14,376","-5,098",-1.9,"-5,098","16,120",-468,-498,0,30,0,"10,554","43,420","45,256","42,740","2,516","-1,836","-32,866"
Q3 2016,"1,024,384","1,022,680","1,704","183,256","71,800","7,680","103,776","134,080","190,544","56,464","1,341,720","1,341,720","310,984","4,432","99,280","204,764","18,768","62,932","123,064","2,508","511,680","15,440","142,256","347,956","237,208","110,748","98,160","6,028","1,141,024","1,141,024","1,156,132","42,976","27,868",2.4,"27,868","60,068","-2,168","-2,292",0,124,0,"85,768","169,316","169,480","157,620","11,860",-164,"-83,548","255,283","254,874",409,"54,046","19,191","7,744","27,111","32,753","46,891","14,138","342,082","342,082","78,074","1,105","25,054","51,268","4,507","15,713","31,048",647,"121,007","3,852","32,835","82,816","58,006","24,810","21,687","1,504","299,149","299,149","292,607","7,781","14,323",4.8,"14,323","15,417",-549,-580,0,31,0,"29,191","49,970","45,461","41,737","3,724","4,509","-20,779"
Q4 2016,"1,033,160","1,031,432","1,728","185,120","73,508","7,124","104,488","138,332","195,440","57,108","1,356,612","1,356,612","314,672","4,516","99,004","208,620","18,600","63,656","126,364","2,532","517,040","15,908","143,792","351,260","241,196","110,064","97,304","6,080","1,154,244","1,154,244","1,170,316","44,788","28,716",2.5,"28,716","59,740","-2,324","-2,488",0,164,0,"86,132","168,496","169,116","158,672","10,444",-620,"-82,364","260,279","259,832",447,"47,103","18,478","2,769","25,856","37,076","51,449","14,373","344,458","344,458","77,766","1,136","24,626","51,404","4,224","15,842","31,338",600,"124,168","4,007","37,532","81,109","60,964","20,145","16,953","1,520","298,056","298,056","298,960","12,906","12,002",4,"12,002","14,686",-595,-636,0,41,0,"26,093","40,572","41,406","38,559","2,847",-834,"-14,479"
Q1 2017,"1,043,448","1,041,828","1,620","186,528","72,684","8,536","105,308","135,748","193,672","57,924","1,365,724","1,365,724","315,560","4,592","98,564","209,852","18,764","64,284","126,804","2,552","523,276","16,328","141,468","358,800","249,196","109,604","96,760","6,680","1,158,008","1,158,008","1,187,868","42,904","13,044",1.1,"13,044","61,520","-1,280","-1,432",0,152,0,"73,284","180,760","180,160","165,600","14,560",600,"-107,476","257,532","257,124",408,"42,639","16,944",561,"25,134","32,836","47,439","14,603","333,007","333,007","79,959","1,132","24,542","53,605","5,506","16,198","31,901",680,"137,540","4,035","32,637","99,193","65,672","33,521","30,226","1,675","275,426","275,426","280,581","8,095","2,940",1.1,"2,940","15,315",-359,-397,0,38,0,"17,896","36,608","38,401","36,402","1,999","-1,793","-18,712"
Q2 2017,"1,055,656","1,053,964","1,692","189,220","74,736","8,548","105,936","139,892","199,320","59,428","1,384,768","1,384,768","320,920","4,712","99,572","214,052","18,084","64,860","131,108","2,584","526,572","16,804","142,428","360,616","250,524","110,092","97,036","6,724","1,179,116","1,179,116","1,204,248","42,856","17,724",1.5,"17,724","61,776","-2,880","-3,168",0,288,0,"76,620","173,856","173,300","164,192","9,108",556,"-97,236","265,848","265,430",418,"42,893","19,661","-3,557","26,789","34,302","48,765","14,463","343,043","343,043","79,939","1,186","25,107","53,033","4,251","16,200","32,582",613,"137,092","4,224","39,189","91,999","60,402","31,597","28,395","1,680","285,890","285,890","306,500","14,082","-6,528",-2.3,"-6,528","15,552",-696,-768,0,72,0,"8,328","45,621","47,530","44,891","2,639","-1,909","-37,293"
Q3 2017,"1,075,132","1,073,480","1,652","191,424","77,152","7,844","106,428","147,052","207,564","60,512","1,413,608","1,413,608","322,620","4,856","100,972","214,292","17,432","65,708","131,152","2,500","532,308","17,220","144,884","363,544","252,344","111,200","97,912","6,660","1,203,920","1,203,920","1,214,164","43,912","33,668",2.8,"33,668","62,136","-2,104","-2,400",0,296,0,"93,700","177,880","177,472","166,536","10,936",408,"-84,180","267,798","267,390",408,"55,850","20,152","7,915","27,783","35,902","51,103","15,201","359,550","359,550","80,815","1,210","25,264","53,696","4,208","16,400","33,088",645,"125,903","4,283","33,509","86,450","61,460","24,990","21,699","1,661","314,462","314,462","307,580","8,245","15,127",4.8,"15,127","15,702",-525,-599,0,74,0,"30,304","52,140","47,780","43,928","3,852","4,360","-21,836"
Q4 2017,"1,091,856","1,090,244","1,612","194,124","79,444","7,944","106,736","145,320","208,200","62,880","1,431,300","1,431,300","324,572","5,012","100,184","216,860","17,460","66,324","133,076","2,516","539,448","17,472","145,424","369,832","258,036","111,796","98,500","6,720","1,216,424","1,216,424","1,230,332","45,240","31,332",2.6,"31,332","63,548","-1,912","-2,224",0,312,0,"92,968","188,724","187,944","171,304","16,640",780,"-95,756","275,345","274,935",410,"48,942","19,247","3,299","26,396","38,963","54,882","15,919","363,250","363,250","80,205","1,265","24,910","53,430","3,970","16,496","32,964",600,"129,866","4,414","38,216","85,556","64,991","20,565","17,232","1,680","313,589","313,589","314,492","13,306","12,403",4,"12,403","15,676",-464,-542,0,78,0,"27,615","45,936","46,008","41,687","4,321",-72,"-18,321"
Q1 2018,"1,109,864","1,108,228","1,636","192,888","76,736","7,076","109,076","135,296","201,224","65,928","1,438,048","1,438,048","327,376","5,200","102,012","217,636","17,472","67,016","133,148","2,528","549,716","19,828","147,116","375,736","260,748","114,988","101,692","7,036","1,215,708","1,215,708","1,244,136","45,104","16,676",1.4,"16,676","64,644","-1,832","-2,160",0,328,0,"79,488","194,312","193,568","172,228","21,340",744,"-114,824","273,991","273,583",408,"43,577","17,217",280,"26,080","32,561","49,147","16,586","350,129","350,129","82,263","1,280","25,008","55,325","5,117","16,889","33,319",650,"145,009","4,890","34,056","104,302","69,174","35,128","31,694","1,761","287,383","287,383","294,326","9,048","2,105",0.7,"2,105","16,077",-469,-551,0,82,0,"17,713","38,921","40,705","37,703","3,002","-1,784","-21,208"
Q2 2018,"1,116,604","1,114,916","1,688","194,420","76,928","7,272","110,220","129,788","197,836","68,048","1,440,812","1,440,812","332,972","5,268","103,848","221,128","16,804","67,904","136,420","2,728","557,340","18,888","146,032","385,292","269,436","115,856","102,460","7,128","1,216,444","1,216,444","1,256,980","42,184","1,648",0.1,"1,648","66,228","-2,020","-2,528",0,508,0,"65,856","190,812","190,812","171,784","19,028",0,"-124,956","281,081","280,662",419,"44,048","20,143","-3,944","27,849","31,876","48,515","16,639","357,005","357,005","83,121","1,325","26,518","54,614","3,920","16,978","33,716",664,"144,113","4,763","40,256","97,310","64,257","33,053","29,785","1,784","296,013","296,013","319,976","13,738","-10,225",-3.5,"-10,225","16,724",-499,-626,0,127,0,"6,000","49,466","51,615","46,773","4,842","-2,149","-43,466"
Q3 2018,"1,125,248","1,123,540","1,708","195,708","76,600","6,960","112,148","131,388","203,064","71,676","1,452,344","1,452,344","335,020","5,320","104,484","222,508","16,948","68,548","137,012","2,708","564,380","18,448","149,172","389,644","273,056","116,588","103,148","7,116","1,222,984","1,222,984","1,268,840","44,688","-1,168",-0.1,"-1,168","66,168","-2,052","-2,560",0,508,0,"62,948","184,988","185,152","171,108","14,044",-164,"-122,040","280,188","279,763",425,"56,860","20,126","7,495","29,239","31,832","49,902","18,070","368,880","368,880","84,062","1,326","26,026","56,023","4,126","17,105","34,792",687,"133,146","4,599","34,162","92,611","66,475","26,136","22,825","1,774","319,796","319,796","321,146","8,136","6,786",2.1,"6,786","16,574",-517,-644,0,127,0,"22,843","54,859","50,596","45,450","5,146","4,263","-32,016"
Q4 2018,"1,137,500","1,135,816","1,684","199,452","78,232","6,876","114,344","131,788","206,988","75,200","1,468,740","1,468,740","340,896","5,356","107,528","225,216","16,608","69,200","139,408","2,796","565,100","18,496","148,588","390,876","274,704","116,172","102,540","7,140","1,244,536","1,244,536","1,271,828","41,060","13,768",1.1,"13,768","66,004","-2,252","-2,768",0,516,0,"77,520","183,544","184,060","172,816","11,244",-516,"-106,024","287,044","286,617",427,"51,132","19,638","3,215","28,279","35,796","54,714","18,918","373,972","373,972","84,620","1,355","26,916","55,660","3,795","17,195","34,670",689,"136,866","4,663","39,253","91,164","69,580","21,584","18,156","1,786","321,726","321,726","324,998","12,337","9,065",2.8,"9,065","16,386",-554,-683,0,129,0,"24,897","45,168","45,482","42,058","3,424",-314,"-20,271"
Q1 2019,"1,146,012","1,144,288","1,724","201,412","78,320","6,540","116,552","134,128","212,480","78,352","1,481,552","1,481,552","340,820","5,348","104,012","228,676","16,128","70,344","142,204","2,784","571,212","18,752","148,556","396,308","277,312","118,996","105,076","7,596","1,251,160","1,251,160","1,283,608","44,544","12,096",1,"12,096","67,128","-2,716","-3,244",0,528,0,"76,508","185,504","184,840","169,352","15,488",664,"-108,996","282,861","282,433",428,"48,162","19,568",371,"28,223","31,913","51,707","19,794","362,936","362,936","85,690","1,319","25,634","58,025","4,739","17,742","35,544",712,"151,114","4,616","34,416","110,179","73,345","36,834","33,223","1,903","297,512","297,512","303,790","8,782","2,504",0.8,"2,504","16,779",-679,-811,0,132,0,"18,604","36,754","38,453","36,779","1,674","-1,699","-18,150"
Q2 2019,"1,161,140","1,159,392","1,748","205,600","79,864","6,960","118,776","139,320","218,556","79,236","1,506,060","1,506,060","347,084","5,388","105,200","233,584","16,072","71,272","146,240","2,912","578,344","19,212","153,360","398,140","277,688","120,452","107,080","7,632","1,274,800","1,274,800","1,295,792","48,160","27,168",2.1,"27,168","67,296","-2,196","-2,596",0,400,0,"92,268","182,136","181,692","172,756","8,936",444,"-89,868","292,201","291,764",437,"46,825","20,522","-3,950","30,253","34,006","53,403","19,397","373,032","373,032","86,588","1,352","26,656","57,858","3,876","17,805","36,177",722,"148,677","4,832","41,662","100,275","66,117","34,158","30,913","1,908","310,943","310,943","330,642","15,006","-4,693",-1.5,"-4,693","16,932",-529,-629,0,100,0,"11,710","47,437","49,358","47,137","2,221","-1,921","-35,727"
Q3 2019,"1,175,500","1,173,744","1,756","210,068","81,840","6,780","121,448","137,780","218,704","80,924","1,523,348","1,523,348","345,140","5,416","105,384","231,392","17,740","71,976","141,676","2,948","581,140","19,580","153,660","400,316","280,340","119,976","106,692","7,584","1,287,348","1,287,348","1,303,680","48,276","31,944",2.5,"31,944","67,932","-2,260","-2,708",0,448,0,"97,616","191,612","191,208","174,404","16,804",404,"-93,996","292,736","292,298",438,"58,601","20,162","7,336","31,103","33,426","53,704","20,278","384,763","384,763","86,559","1,350","26,186","58,284","4,285","17,955","36,044",739,"137,012","4,885","35,158","95,081","68,225","26,856","23,598","1,888","334,310","334,310","330,080","8,972","13,202",3.9,"13,202","17,095",-570,-682,0,112,0,"29,727","57,092","52,861","46,765","6,096","4,231","-27,365"
Q4 2019,"1,191,732","1,189,996","1,736","214,920","83,036","7,576","124,308","139,888","220,608","80,720","1,546,540","1,546,540","351,384","5,480","109,524","233,388","17,604","72,756","143,028","2,992","589,784","19,952","158,448","403,900","282,032","121,868","108,688","7,484","1,308,140","1,308,140","1,320,184","48,924","36,880",2.8,"36,880","69,000","-2,408","-2,812",0,404,0,"103,472","183,884","183,220","175,400","7,820",664,"-80,412","300,798","300,360",438,"54,412","20,513","3,207","30,692","38,434","58,773","20,339","393,644","393,644","87,270","1,387","27,554","57,593","3,986","18,085","35,522",736,"143,317","5,041","42,270","94,131","71,656","22,475","19,150","1,875","337,597","337,597","336,304","14,716","16,009",4.7,"16,009","17,033",-617,-718,0,101,0,"32,425","44,501","44,568","42,297","2,271",-67,"-12,076"
Q1 2020,"1,179,688","1,178,124","1,564","211,220","79,364","6,812","125,044","141,296","219,436","78,140","1,532,204","1,532,204","379,748","5,484","114,828","256,428","18,508","73,704","164,216","3,008","589,660","19,860","157,472","405,140","284,856","120,284","107,448","7,188","1,322,292","1,322,292","1,290,804","42,644","74,132",5.6,"74,132","69,044","-2,632","-3,052",0,420,0,"140,544","194,544","193,804","178,980","14,824",740,"-54,000","291,529","291,142",387,"49,417","18,336",797,"30,284","33,352","53,081","19,729","374,298","374,298","96,200","1,353","28,902","65,188","5,366","18,600","41,222",757,"156,211","4,889","37,024","112,500","75,042","37,458","34,120","1,798","314,287","314,287","302,985","8,122","19,424",6.2,"19,424","17,268",-662,-767,0,105,0,"36,030","39,129","40,881","39,569","1,312","-1,752","-3,099"
Q2 2020,"1,083,188","1,082,236",952,"201,164","67,852","7,036","126,276","142,044","213,976","71,932","1,426,396","1,426,396","587,268","8,640","108,496","467,044","85,440","74,552","307,052","3,088","557,532","18,072","138,640","392,872","279,180","113,692","101,240","7,948","1,456,132","1,456,132","1,100,252","30,144","386,024",26.5,"386,024","70,176","-3,016","-3,200",0,184,0,"453,184","162,236","163,076","153,296","9,780",-840,"290,948","270,725","270,485",240,"45,237","17,481","-4,338","32,094","34,820","52,476","17,656","350,782","350,782","146,638","2,162","27,509","116,194","21,207","18,616","76,371",773,"141,921","4,540","36,813","98,579","66,382","32,197","29,184","1,989","355,499","355,499","280,731","9,304","84,072",23.6,"84,072","17,610",-734,-780,0,46,0,"100,948","42,264","44,690","42,239","2,451","-2,426","58,684"
Q3 2020,"1,164,900","1,163,956",944,"208,824","77,732","6,620","124,472","135,232","205,936","70,704","1,508,956","1,508,956","476,564","8,932","109,584","355,004","47,952","75,324","231,728","3,044","593,452","19,488","153,704","412,408","294,424","117,984","105,388","7,852","1,392,068","1,392,068","1,254,552","44,120","181,636",13,"181,636","70,716","-2,992","-3,164",0,172,0,"249,360","208,012","210,696","204,768","5,928","-2,684","41,348","290,275","290,039",236,"59,574","20,193","7,628","31,753","33,055","50,776","17,721","382,904","382,904","118,826","2,231","26,592","89,244","11,867","18,790","58,587",759,"140,606","4,869","35,588","98,195","71,739","26,456","23,376","1,954","361,124","361,124","320,316","8,996","49,804",13.8,"49,804","17,786",-751,-794,0,43,0,"66,839","62,753","58,832","55,187","3,645","3,921","4,086"
