Sex,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,
Age group 3 5,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age
Reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years
2013,"35,082,954","1,741,051","1,248,201","6,102,260","23,627,711","5,352,983",40.3,"527,114","32,958","21,635","81,654","356,048","89,412",44.3,"144,094","8,659","5,741","24,436","94,689","24,969",43.2,"940,434","56,684","39,527","145,242","628,513","166,679",43.9,"758,544","45,062","31,695","119,763","505,399","133,382",44,"8,110,880","442,242","319,884","1,339,300","5,427,268","1,344,312",41.8,"13,510,781","654,852","474,736","2,371,405","9,090,697","2,048,679",40.3,"1,264,620","57,179","40,822","255,027","826,850","182,743",37.8,"1,099,736","46,867","34,833","221,823","717,948","159,965",37.2,"3,981,011","148,773","102,995","782,618","2,752,465","445,928",36,"4,630,077","244,432","174,579","733,069","3,147,574","749,434",41.7,"36,521","1,626",828,"6,483","26,459","3,579",39,..,..,..,..,..,..,..,"43,805","1,150",607,"9,592","31,530","2,683",33.1,"35,337",567,319,"11,848","22,271","1,218",24.9
2014,"35,437,435","1,822,528","1,304,022","6,146,143","23,748,966","5,542,326",40.5,"528,159","34,559","22,686","81,299","353,966","92,894",44.7,"144,283","9,125","6,108","24,488","93,808","25,987",43.6,"938,545","59,241","41,174","144,108","622,106","172,331",44.4,"758,976","47,834","33,138","118,925","501,162","138,889",44.6,"8,150,183","458,409","335,437","1,349,448","5,411,672","1,389,063",42,"13,617,553","686,061","493,339","2,374,032","9,122,596","2,120,925",40.5,"1,279,014","59,561","42,406","258,368","833,488","187,158",37.7,"1,112,979","48,983","35,564","225,817","724,480","162,682",37.2,"4,083,648","157,268","107,933","804,409","2,815,213","464,026",36,"4,707,103","257,994","184,302","737,009","3,189,598","780,496",41.9,"37,137","1,665",941,"6,598","26,769","3,770",39.1,..,..,..,..,..,..,..,"43,884","1,222",665,"9,521","31,525","2,838",33.6,"35,971",606,329,"12,121","22,583","1,267",25.1
2015,"35,702,908","1,903,004","1,357,712","6,193,062","23,787,609","5,722,237",40.7,"528,117","36,360","23,741","80,751","351,148","96,218",45.2,"144,546","9,621","6,321","24,443","93,315","26,788",43.9,"936,525","61,723","42,971","143,568","615,547","177,410",44.8,"758,842","50,497","34,604","118,390","496,660","143,792",45.1,"8,175,272","470,811","352,273","1,359,836","5,385,907","1,429,529",42.2,"13,707,118","716,078","510,659","2,380,085","9,138,865","2,188,168",40.7,"1,292,227","62,269","43,885","261,668","839,088","191,471",37.7,"1,120,967","51,207","36,445","229,134","726,016","165,817",37.2,"4,144,491","166,331","112,407","822,687","2,839,915","481,889",36.1,"4,776,388","274,426","192,345","743,707","3,219,780","812,901",42.2,"37,690","1,730","1,006","6,737","27,004","3,949",39.2,..,..,..,..,..,..,..,"44,237","1,326",716,"9,650","31,593","2,994",34,"36,488",625,339,"12,406","22,771","1,311",25.2
2016,"36,109,487","1,969,181","1,423,187","6,258,784","23,929,735","5,920,968",40.7,"529,426","37,160","26,016","80,229","349,011","100,186",45.6,"146,969","9,944","6,715","24,771","94,354","27,844",43.9,"942,790","63,469","45,161","143,939","615,697","183,154",45,"763,350","52,236","36,344","118,884","495,357","149,109",45.4,"8,225,950","482,961","369,265","1,372,935","5,376,075","1,476,940",42.4,"13,875,394","739,710","534,238","2,396,590","9,217,580","2,261,224",40.7,"1,314,139","64,215","45,660","265,693","851,948","196,498",37.5,"1,135,987","53,081","37,580","233,680","732,894","169,413",37.2,"4,196,061","174,507","118,335","839,690","2,854,138","502,233",36.3,"4,859,250","287,977","201,641","753,332","3,260,289","845,629",42.3,"38,547","1,852","1,087","6,874","27,448","4,225",39.2,..,..,..,..,..,..,..,"44,649","1,410",799,"9,679","31,816","3,154",34.3,"36,975",659,346,"12,488","23,128","1,359",25.5
2017,"36,545,236","1,996,039","1,533,338","6,302,737","24,107,487","6,135,012",40.8,"528,249","37,784","28,096","79,407","344,802","104,040",46,"150,402","9,879","7,444","25,344","96,215","28,843",43.7,"950,108","63,367","49,071","144,331","616,702","189,075",45.1,"766,621","52,589","39,443","118,932","493,360","154,329",45.7,"8,302,063","490,828","390,800","1,387,519","5,386,615","1,527,929",42.4,"14,070,141","745,693","578,468","2,403,695","9,324,757","2,341,689",40.7,"1,334,790","65,107","49,124","269,258","863,467","202,065",37.4,"1,150,331","54,467","40,068","237,665","738,799","173,867",37.2,"4,241,100","179,934","128,873","849,448","2,866,356","525,296",36.6,"4,929,384","292,312","219,439","757,814","3,292,947","878,623",42.3,"39,610","1,923","1,253","7,043","28,054","4,513",39,..,..,..,..,..,..,..,"44,891","1,481",874,"9,629","31,949","3,313",34.5,"37,546",675,385,"12,652","23,464","1,430",25.8
2018,"37,065,084","2,036,232","1,625,616","6,358,376","24,351,156","6,355,552",40.8,"525,560","38,447","29,912","77,978","339,488","108,094",46.5,"153,396","9,865","8,192","25,767","97,796","29,833",43.5,"958,406","63,589","52,391","144,616","618,676","195,114",45.1,"770,301","53,223","42,170","119,160","491,425","159,716",45.9,"8,401,738","500,487","409,270","1,408,492","5,413,810","1,579,436",42.5,"14,308,697","757,993","614,185","2,417,448","9,468,234","2,423,015",40.6,"1,352,825","66,561","51,831","272,511","872,315","207,999",37.4,"1,161,767","56,360","42,082","241,238","741,701","178,828",37.3,"4,298,275","187,561","138,542","859,360","2,887,971","550,944",36.9,"5,010,476","297,871","234,301","762,157","3,335,571","912,748",42.2,"40,519","2,017","1,382","7,140","28,550","4,829",39,..,..,..,..,..,..,..,"44,981","1,582",935,"9,650","31,825","3,506",34.8,"38,143",676,423,"12,859","23,794","1,490",26
2019,"37,601,230","2,098,142","1,708,613","6,406,434","24,594,786","6,600,010",40.8,"523,427","39,170","31,498","76,517","334,689","112,221",47,"157,419","10,015","8,642","26,145","100,298","30,976",43.1,"970,243","64,926","55,008","145,480","623,014","201,749",45,"777,128","54,156","44,646","119,746","491,899","165,483",46,"8,503,483","513,624","426,413","1,426,010","5,441,219","1,636,254",42.5,"14,544,701","779,167","645,303","2,430,249","9,602,078","2,512,374",40.5,"1,369,954","68,784","54,434","275,551","879,330","215,073",37.4,"1,172,479","59,186","44,359","243,466","744,049","184,964",37.5,"4,362,576","198,624","147,949","867,746","2,913,746","581,084",37.2,"5,094,796","305,905","247,501","765,536","3,379,921","949,339",42.1,"41,362","2,198","1,444","7,316","28,839","5,207",39.2,..,..,..,..,..,..,..,"45,070","1,696",971,"9,651","31,681","3,738",35.1,"38,592",691,445,"13,021","24,023","1,548",26
2020,"38,007,166","2,167,219","1,787,882","6,437,201","24,725,561","6,844,404",40.9,"521,359","39,603","33,165","75,019","330,133","116,207",47.4,"161,305","10,184","9,155","26,345","102,857","32,103",42.7,"981,691","66,553","57,339","146,162","626,779","208,750",44.9,"782,996","55,482","47,041","119,922","491,418","171,656",46.1,"8,576,595","529,190","439,932","1,439,048","5,446,267","1,691,280",42.7,"14,726,022","804,055","674,487","2,436,941","9,688,396","2,600,685",40.5,"1,379,888","71,033","57,052","277,590","880,244","222,054",37.6,"1,178,467","62,157","46,608","244,470","742,541","191,456",37.8,"4,416,682","209,854","157,684","872,141","2,933,162","611,379",37.5,"5,155,495","314,194","262,364","769,374","3,398,498","987,623",42.1,"42,163","2,387","1,528","7,456","29,101","5,606",39.3,..,..,..,..,..,..,..,"45,346","1,813","1,054","9,619","31,736","3,991",35.4,"39,157",714,473,"13,114","24,429","1,614",26.2
2021,"38,226,498","2,232,897","1,853,367","6,424,614","24,719,733","7,082,151",41.1,"520,452","39,920","34,110","73,840","326,398","120,214",47.8,"164,758","10,486","9,515","26,340","105,017","33,401",42.4,"991,117","68,178","59,132","146,088","629,327","215,702",44.9,"790,398","56,882","48,651","119,800","492,936","177,662",46.2,"8,602,335","542,385","452,652","1,437,730","5,415,233","1,749,372",43,"14,809,257","827,730","697,975","2,427,222","9,697,027","2,685,008",40.7,"1,391,979","72,974","59,043","277,884","885,841","228,254",37.7,"1,181,493","64,782","48,707","244,350","740,045","197,098",38.1,"4,443,773","220,974","166,070","870,728","2,933,215","639,830",38,"5,202,378","323,371","274,164","770,295","3,408,469","1,023,614",42.3,"43,250","2,560","1,677","7,597","29,638","6,015",39.3,..,..,..,..,..,..,..,"45,597","1,935","1,154","9,547","31,766","4,284",35.7,"39,711",720,517,"13,193","24,821","1,697",26.4
2022,"38,929,902","2,308,096","1,879,942","6,489,341","25,109,956","7,330,605",41,"525,972","40,343","34,780","73,705","328,328","123,939",47.8,"170,688","10,738","9,538","26,890","109,134","34,664",41.8,"1,019,725","70,292","59,090","149,004","647,994","222,727",44.2,"812,061","58,570","49,155","122,389","505,590","184,082",45.7,"8,695,659","559,713","460,598","1,445,330","5,440,108","1,810,221",43.1,"15,109,416","855,430","702,728","2,450,039","9,885,135","2,774,242",40.4,"1,409,223","74,807","59,875","278,996","895,855","234,372",37.7,"1,194,803","67,103","50,113","246,216","745,941","202,646",38.2,"4,543,111","233,404","172,273","884,078","2,986,520","672,513",38.1,"5,319,324","332,215","278,298","782,470","3,478,392","1,058,462",42,"43,789","2,670","1,725","7,670","29,776","6,343",39.5,..,..,..,..,..,..,..,"45,605","2,078","1,224","9,378","31,642","4,585",35.8,"40,526",733,545,"13,176","25,541","1,809",26.9
